finess;finess_geo;region;rs_finess;score_satisfaction;taux_reco_brut;type_enquete
670000215;670000215;Grand Est;HOPITAL DU NEUENBERG;;;MCO_48H
670780543;670000272;Grand Est;CENTRE HOSPITALIER INTERCOMMUNAL DE LA LAUTER;74.52;58.6;MCO_48H
670017755;670000397;Grand Est;GROUPE HOSPITALIER SELESTAT OBERNAI;;;MCO_48H
670017458;670017458;Grand Est;CLINIQUE RHENA ASSOCIATION;73.23;66.7;MCO_48H
670018068;670018068;Grand Est;CLINIQUE RHENA GCS ES;78.56;73.2;MCO_48H
670780055;670780113;Grand Est;HOPITAUX UNIVERSITAIRES DE STRASBOURG;73.82;66.9;MCO_48H
670780170;670780170;Grand Est;CLINIQUE DE L'ORANGERIE;78.49;67.6;MCO_48H
670780188;670780188;Grand Est;CLINIQUE SAINTE-BARBE DU GROUPE HOSPITALIER SAINT-VINCENT;74.08;42.9;MCO_48H
670780212;670780212;Grand Est;CLINIQUE SAINTE-ANNE DU GROUPE HOSPITALIER SAINT-VINCENT;72.91;60.2;MCO_48H
670780378;670780378;Grand Est;CLINIQUE SAINT-FRANCOIS;;;MCO_48H
670780386;670780386;Grand Est;CLINIQUE SAINTE-ODILE (HAGUENAU);74.95;50.0;MCO_48H
670780055;670783133;Grand Est;HOPITAUX UNIVERSITAIRES DE STRASBOURG;;;MCO_48H
670780055;670783273;Grand Est;HOPITAUX UNIVERSITAIRES DE STRASBOURG;73.73;56.0;MCO_48H
670798636;670798636;Grand Est;CLINIQUE SAINT-LUC DU GROUPE HOSPITALIER SAINT- VINCENT;;;MCO_48H
680000320;680000320;Grand Est;CLINIQUE DIACONAT FONDERIE;73.36;61.2;MCO_48H
680000494;680000494;Grand Est;CLINIQUE DIACONAT ROOSEVELT;75.74;64.4;MCO_48H
680020336;680000544;Grand Est;GROUPE HOSPITALIER DE LA REGION DE MULHOUSE ET SUD ALSACE;71.19;51.7;MCO_48H
680000411;680000577;Grand Est;CENTRE HOSPITALIER DE PFASTATT;;;MCO_48H
680020336;680000601;Grand Est;GROUPE HOSPITALIER DE LA REGION DE MULHOUSE ET SUD ALSACE;;;MCO_48H
680020336;680000627;Grand Est;GROUPE HOSPITALIER DE LA REGION DE MULHOUSE ET SUD ALSACE;72.8;53.3;MCO_48H
680000973;680000684;Grand Est;HOPITAUX CIVILS DE COLMAR;77.49;54.2;MCO_48H
680001005;680000700;Grand Est;CENTRE HOSPITALIER DE GUEBWILLER;;;MCO_48H
680001179;680000874;Grand Est;CENTRE HOSPITALIER DE ROUFFACH;;;MCO_48H
680000882;680000882;Grand Est;CLINIQUE DU DIACONAT DE COLMAR;;;MCO_48H
680001195;680001195;Grand Est;HOPITAL ALBERT SCHWEITZER;77.63;78.9;MCO_48H
680020336;680004546;Grand Est;GROUPE HOSPITALIER DE LA REGION DE MULHOUSE ET SUD ALSACE;70.94;47.2;MCO_48H
680020088;680020088;Grand Est;NOUVELLE CLINIQUE DES TROIS FRONTIERES;;;MCO_48H
690780036;690000013;Auvergne-Rhône-Alpes;CH MONTGELAS;75.02;73.3;MCO_48H
690780044;690000021;Auvergne-Rhône-Alpes;CH DE SAINTE FOY LÈS LYON;71.61;60.0;MCO_48H
690000427;690000427;Auvergne-Rhône-Alpes;CTRE MEDICO-CHIR READAPT DES MASSUES;79.23;69.5;MCO_48H
690782222;690000575;Auvergne-Rhône-Alpes;HOPITAL NORD OUEST - VILLEFRANCHE;72.63;59.9;MCO_48H
690782271;690000625;Auvergne-Rhône-Alpes;HOPITAL NORD OUEST - TARARE;;;MCO_48H
690000880;690000880;Auvergne-Rhône-Alpes;CENTRE LEON BERARD;80.18;82.3;MCO_48H
690781810;690007539;Auvergne-Rhône-Alpes;HOSPICES CIVILS DE LYON;70.64;53.2;MCO_48H
690781810;690019849;Auvergne-Rhône-Alpes;HOSPICES CIVILS DE LYON;;;MCO_48H
690022959;690022959;Auvergne-Rhône-Alpes;HOP PRIVE MÈRE ENFANT NATECIA;71.15;46.9;MCO_48H
690023239;690023239;Auvergne-Rhône-Alpes;CLINIQUE DU PARC LYON;77.41;69.7;MCO_48H
690023411;690023411;Auvergne-Rhône-Alpes;HOPITAL PRIVE JEAN MERMOZ;74.5;54.7;MCO_48H
690041124;690041124;Auvergne-Rhône-Alpes;MEDIPOLE HOPITAL PRIVE;74.33;51.7;MCO_48H
690041132;690041132;Auvergne-Rhône-Alpes;MEDIPOLE HOPITAL MUTUALISTE;70.77;40.4;MCO_48H
690042080;690042080;Auvergne-Rhône-Alpes;HOPITAL PRIVE NATECIA - GYNECOLOGIE;73.57;59.8;MCO_48H
690780093;690780093;Auvergne-Rhône-Alpes;HOPITAL D'INSTRUCTION DES ARMEES DESGENETTE;;;MCO_48H
690780150;690780150;Auvergne-Rhône-Alpes;HOPITAL DE L'ARBRESLE LE RAVATEL;68.51;40.0;MCO_48H
690780259;690780259;Auvergne-Rhône-Alpes;CLINIQUE SAINT CHARLES LYON;77.31;59.4;MCO_48H
690780358;690780358;Auvergne-Rhône-Alpes;CLINIQUE DU VAL D'OUEST VENDOME;74.67;55.1;MCO_48H
690780366;690780366;Auvergne-Rhône-Alpes;CLINIQUE CHARCOT;78.7;73.4;MCO_48H
690780390;690780390;Auvergne-Rhône-Alpes;POLYCLINIQUE LYON-NORD;73.63;50.8;MCO_48H
690780416;690780416;Auvergne-Rhône-Alpes;GPE HOSP MUT LES PORTES DU SUD (EX CLINIQUE ROSERAIE);70.52;42.4;MCO_48H
690780648;690780648;Auvergne-Rhône-Alpes;CLINIQUE DE LA SAUVEGARDE;75.89;54.5;MCO_48H
690780655;690780655;Auvergne-Rhône-Alpes;HOPITAL PRIVE DE L'EST LYONNAIS (EX POLYCLINIQUE PASTEUR);71.14;45.4;MCO_48H
690780663;690780663;Auvergne-Rhône-Alpes;CLINIQUE TRENEL;78.05;59.1;MCO_48H
690781810;690783154;Auvergne-Rhône-Alpes;HOSPICES CIVILS DE LYON;72.95;50.4;MCO_48H
690781810;690784137;Auvergne-Rhône-Alpes;HOSPICES CIVILS DE LYON;73.77;57.2;MCO_48H
690781810;690784152;Auvergne-Rhône-Alpes;HOSPICES CIVILS DE LYON;72.54;60.4;MCO_48H
