finess;rs_finess;finess_geo;rs_finess_geo;region;participation;Depot;nb_rep_score_all_rea_ajust;score_all_rea_ajust;classement;evolution;nb_rep_score_accueil_rea_ajust;score_accueil_rea_ajust;nb_rep_score_PECinf_rea_ajust;score_PECinf_rea_ajust;nb_rep_score_PECmed_rea_ajust;score_PECmed_rea_ajust;nb_rep_score_chambre_rea_ajust;score_chambre_rea_ajust;nb_rep_score_repas_rea_ajust;score_repas_rea_ajust;nb_rep_score_sortie_rea_ajust;score_sortie_rea_ajust;taux_reco_brut;nb_reco_brut
450000294;CLINIQUE DE LA REINE BLANCHE (POLE DE SANTE ORELIANCE);450000294;ORELIANCE - REINE BLANCHE;Centre-Val de Loire;1- Obligatoire;1- Oui;445.0;73.35;C;;445.0;74.33;445.0;81.94;445.0;78.39;445.0;79.86;445.0;63.91;445.0;56.29;53.5;445.0
450000088;CENTRE HOSPITALIER REGIONAL D'ORLEANS;450002613;CHR ORLÉANS - HÔPITAL DE LA SOURCE;Centre-Val de Loire;1- Obligatoire;1- Oui;2428.0;71.08;C;;2428.0;69.11;2428.0;80.16;2428.0;77.2;2428.0;75.93;2428.0;58.74;2428.0;56.47;50.0;2423.0
450010079;POLYCLINIQUE LES LONGUES ALLEES (POLE DE SANTE ORELIANCE);450010079;ORELIANCE - LONGUES ALLEES;Centre-Val de Loire;1- Obligatoire;1- Oui;935.0;75.52;B;;935.0;74.25;935.0;81.98;935.0;81.51;935.0;77.99;935.0;60.59;935.0;65.98;59.7;933.0
450012968;CLINIQUE DE MONTARGIS;450012968;CLINIQUE DE MONTARGIS;Centre-Val de Loire;1- Obligatoire;1- Oui;108.0;76.51;B;;108.0;73.53;108.0;83.32;108.0;82.43;108.0;76.68;108.0;63.77;108.0;70.33;75.7;107.0
460780083;CENTRE HOSPITALIER FIGEAC;460000045;CH FIGEAC SITE MAQUISARDS;Occitanie;1- Obligatoire;1- Oui;76.0;74.12;B;;76.0;76.02;76.0;80.61;76.0;82.13;76.0;70.03;76.0;57.2;76.0;65.2;69.7;76.0
460780091;CENTRE HOSPITALIER SAINT JACQUES;460000052;CH ST JACQUES ST CERE;Occitanie;2- Facultatif;1- Oui;;;DI;;;;;;;;;;;;;;;
460780208;CENTRE HOSPITALIER JEAN COULON GOURDON;460000102;CH JEAN COULON GOURDON;Occitanie;1- Obligatoire;1- Oui;;;DI;;;;;;;;;;;;;;;
460780216;CENTRE HOSPITALIER JEAN ROUGIER CAHORS;460000110;CH JEAN ROUGIER CAHORS;Occitanie;1- Obligatoire;1- Oui;;;DI;;;;;;;;;;;;;;;
470000027;CLINIQUE ESQUIROL-SAINT-HILAIRE;470000027;CLINIQUE ESQUIROL-SAINT-HILAIRE;Nouvelle Aquitaine;1- Obligatoire;1- Oui;431.0;73.7;C;;431.0;74.22;431.0;81.0;431.0;79.91;431.0;73.1;431.0;54.05;431.0;65.69;50.1;429.0
470016171;CENTRE HOSPITALIER INTERCOMMUNAL AGEN-NERAC;470000423;CH AGEN NERAC - HOPITAL SAINT-ESPRIT;Nouvelle Aquitaine;1- Obligatoire;1- Oui;450.0;70.23;D;;450.0;69.34;450.0;80.7;450.0;78.7;450.0;64.59;450.0;52.37;450.0;61.51;47.1;450.0
470000324;CENTRE HOSPITALIER DE VILLENEUVE SUR LOT;470000431;CH VILLENEUVE -POLE SANTE VILLENEUVOIS;Nouvelle Aquitaine;1- Obligatoire;1- Oui;90.0;73.04;C;;90.0;72.79;90.0;80.0;90.0;76.92;90.0;75.0;90.0;60.58;90.0;63.26;46.7;90.0
470001660;CENTRE HOSPITALIER INTERCOMMUNAL MARMANDE - TONNEINS;470000480;CENTRE HOSPITALIER DE MARMANDE - CHIC;Nouvelle Aquitaine;1- Obligatoire;1- Oui;82.0;73.71;C;;82.0;71.36;82.0;81.56;82.0;77.8;82.0;77.64;82.0;64.61;82.0;62.67;50.0;82.0
470016171;CENTRE HOSPITALIER INTERCOMMUNAL AGEN-NERAC;470000522;CH AGEN NERAC - SITE DE NERAC;Nouvelle Aquitaine;2- Facultatif;1- Oui;;;DI;;;;;;;;;;;;;;;
470016049;POLE DE SANTE DU VILLENEUVOIS (PSV);470016049;GCS POLE DE SANTE DU VILLENEUVOIS;Nouvelle Aquitaine;1- Obligatoire;1- Oui;34.0;75.67;B;;34.0;74.33;34.0;81.64;34.0;80.43;34.0;75.73;34.0;58.55;34.0;70.59;67.6;34.0
480780097;CENTRE HOSPITALIER DE MENDE;480000017;HOPITAL LOZERE SITE VALLEE DU LOT;Occitanie;1- Obligatoire;1- Oui;45.0;73.3;C;;45.0;71.53;45.0;83.31;45.0;82.07;45.0;71.45;45.0;56.43;45.0;59.73;53.3;45.0
480780097;CENTRE HOSPITALIER DE MENDE;480002948;HOPITAL LOZERE SITE GEVAUDAN;Occitanie;2- Facultatif;1- Oui;;;DI;;;;;;;;;;;;;;;
490000031;CENTRE HOSPITALIER  UNIVERSITAIRE D'ANGERS;490000049;CHR ANGERS SITE LARREY;Pays de la Loire;1- Obligatoire;1- Oui;57.0;69.49;D;;57.0;66.71;57.0;78.01;57.0;75.63;57.0;63.47;57.0;60.87;57.0;63.09;38.6;57.0
490000155;INSTITUT DE CANCEROLOGIE DE L'OUEST - SITE CENTRE PAUL PAPIN;490000155;ICO - SITE PAUL PAPIN;Pays de la Loire;1- Obligatoire;1- Oui;170.0;79.9;A;;170.0;79.37;170.0;87.47;170.0;85.76;170.0;79.79;170.0;64.39;170.0;70.49;76.5;170.0
